2021-04-06 02:15:27 - errrrrr
2021-04-06 02:16:53 - errrrrr
2021-04-06 02:21:51 - Недопустимый аргумент capacity -3
2021-04-06 02:21:51 - add element first to cache

2021-04-06 02:21:51 - add element second to cache

2021-04-06 02:21:51 - add element third to cache

2021-04-06 02:26:29 - Недопустимый аргумент capacity -3
2021-04-06 02:26:29 - add element first to cache

2021-04-06 02:26:29 - add element second to cache

2021-04-06 02:26:29 - add element third to cache

2021-04-06 02:26:29 - add element fourth to cache

2021-04-06 02:26:29 - delete element fourth from cache

2021-04-06 02:26:29 - add element second to cache

2021-04-06 02:26:29 - add element true to cache

2021-04-06 02:26:29 - add element false to cache

2021-04-06 02:26:29 - add element true to cache

2021-04-06 02:26:29 - delete element true from cache

2021-04-06 02:26:29 - add element false to cache

2021-04-06 02:26:29 - add element string1 to cache

2021-04-06 02:34:46 - Недопустимый аргумент capacity -3
2021-04-06 02:34:46 - add element first to cache

2021-04-06 02:34:46 - add element second to cache

2021-04-06 02:34:46 - add element third to cache

2021-04-06 02:34:46 - add element fourth to cache

2021-04-06 02:34:46 - delete element fourth from cache

2021-04-06 02:34:46 - add element second to cache

2021-04-06 02:34:46 - add element true to cache

2021-04-06 02:34:46 - add element false to cache

2021-04-06 02:34:46 - add element true to cache

2021-04-06 02:34:46 - delete element true from cache

2021-04-06 02:34:46 - add element false to cache

2021-04-06 02:35:57 - Недопустимый аргумент capacity -3
2021-04-06 02:35:57 - add element first to cache

2021-04-06 02:35:57 - add element second to cache

2021-04-06 02:35:57 - add element third to cache

2021-04-06 02:35:57 - add element fourth to cache

2021-04-06 02:35:57 - delete element fourth from cache

2021-04-06 02:35:57 - add element second to cache

2021-04-06 02:35:57 - add element true to cache

2021-04-06 02:35:57 - add element false to cache

2021-04-06 02:35:57 - add element true to cache

2021-04-06 02:35:57 - delete element true from cache

2021-04-06 02:35:57 - add element false to cache

2021-04-06 02:38:47 - Недопустимый аргумент capacity -3
2021-04-06 02:38:47 - add element first to cache

2021-04-06 02:38:47 - add element second to cache

2021-04-06 02:38:47 - add element third to cache

2021-04-06 02:38:47 - add element fourth to cache

2021-04-06 02:38:47 - delete element fourth from cache

2021-04-06 02:38:47 - add element second to cache

2021-04-06 02:38:47 - add element true to cache

2021-04-06 02:38:47 - add element false to cache

2021-04-06 02:38:47 - add element true to cache

2021-04-06 02:38:47 - delete element true from cache

2021-04-06 02:38:47 - add element false to cache

2021-04-06 02:40:25 - Недопустимый аргумент capacity -3
2021-04-06 02:40:25 - add element first to cache

2021-04-06 02:40:25 - add element second to cache

2021-04-06 02:40:25 - add element third to cache

2021-04-06 02:40:25 - add element fourth to cache

2021-04-06 02:40:25 - delete element fourth from cache

2021-04-06 02:40:25 - add element second to cache

2021-04-06 02:40:25 - add element true to cache

2021-04-06 02:40:25 - add element false to cache

2021-04-06 02:40:25 - add element true to cache

2021-04-06 02:40:25 - delete element true from cache

2021-04-06 02:40:25 - add element false to cache

2021-04-06 02:43:50 - Недопустимый аргумент capacity -3
2021-04-06 02:43:50 - add element first to cache

2021-04-06 02:43:50 - add element second to cache

2021-04-06 02:43:50 - add element third to cache

2021-04-06 02:43:50 - add element fourth to cache

2021-04-06 02:43:50 - delete element fourth from cache

2021-04-06 02:43:50 - add element second to cache

2021-04-06 02:43:50 - add element true to cache

2021-04-06 02:43:50 - add element false to cache

2021-04-06 02:43:50 - add element true to cache

2021-04-06 02:43:50 - delete element true from cache

2021-04-06 02:43:50 - add element false to cache

2021-04-07 00:43:48 - Недопустимый аргумент capacity -3.
2021-04-07 00:43:48 - add element first to cache

2021-04-07 00:43:48 - add element second to cache

2021-04-07 00:43:48 - add element third to cache

2021-04-07 00:43:48 - add element fourth to cache

2021-04-07 00:43:48 - delete element fourth from cache

2021-04-07 00:43:48 - add element second to cache

2021-04-07 00:43:48 - add element true to cache

2021-04-07 00:43:48 - add element false to cache

